Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	1866	4944	0.05	4	4	4	4	4	100.00	1	118	11	9.32
Users cannot follow themselves	1879	5087	0.05	4	4	4	4	4	100.00	1	44	5	11.36
Users can see ads posted by everyone, but only see non ads posted by followed users	1899	5564	0.06	4	4	4	4	3	75.00	0			
If a user posts an ad then all its posts should be labeled as ads	1915	5947	0.06	4	4	4	4	4	100.00	1	149	14	9.40
Influencers are followed by everyone else	1923	6748	0.07	4	4	4	4	4	100.00	1	166	15	9.04
Influencers post every day	1929	6902	0.07	4	4	4	4	4	100.00	1	70	15	21.43
Suggested are other users followed by followed users, but not yet followed	1943	6950	0.07	4	4	4	4	4	100.00	1	527	67	12.71
A user only sees ads from followed or suggested users	1954	9617	0.10	4	0	0	0	0	0.00	0			
Photo sharing social network totals	15308	51759	0.54	32	28	28	28	27	84.4	6	1074	127	12.21
Workers are either human or robots	1884	4336	0.05	4	4	4	4	4	100.00	1	44	8	18.18
Every workstation has workers and every worker works in one workstation	1904	7163	0.07	4	4	4	4	4	100.00	1	93	8	8.60
Every component is assembled in one workstation	1914	7784	0.08	4	4	4	4	4	100.00	1	28	1	3.57
Components must have parts and materials have no parts	1924	7677	0.08	4	4	4	4	4	100.00	1	79	5	6.33
Humans and robots cannot work together	1932	7695	0.08	4	2	2	2	2	50.00	0			
Components cannot be their own parts	1939	8727	0.09	4	4	4	4	4	100.00	1	56	23	41.07
Components built of dangerous parts are also dangerous	1948	7361	0.08	4	4	4	4	4	100.00	1	109	15	13.76
Dangerous components cannot be assembled by humans	1957	10962	0.11	4	4	4	3	3	75.00	0			
The workstations form a single line between begin and end	1969	6821	0.07	4	4	4	4	4	100.00	1	589	182	30.90
The parts of a component must be assembled before it in the production line	1984	8905	0.09	4	4	4	4	4	100.00	1	265	21	7.92
Production line totals	19355	77431	0.80	40	38	38	37	37	92.5	8	1263	263	16.29
The station has at least one entry and one exit	1857	3722	0.04	4	4	4	4	4	100.00	1	126	9	7.14
Signals belong to one track	1871	3424	0.04	4	4	4	4	4	100.00	1	54	4	7.41
Exit tracks are those without successor	1879	5434	0.06	4	4	4	4	4	100.00	1	142	42	29.58
Entry tracks are those without predecessors	1886	5374	0.06	4	4	4	4	4	100.00	1	109	16	14.68
Junctions are the tracks with more than one predecessor	1898	4969	0.05	4	4	4	4	4	100.00	1	163	16	9.82
Entry tracks must have a speed signal	1906	5697	0.06	4	4	4	4	4	100.00	1	68	19	27.94
The station has no cycles	1912	7813	0.08	4	4	4	4	4	100.00	1	36	2	5.56
It should be possible to reach every exit from every entry	1924	7390	0.08	4	4	4	4	4	100.00	1	50	10	20.00
Tracks not followed by junctions do not have semaphores	1937	7185	0.07	4	4	4	4	4	100.00	1	203	11	5.42
Every track before a junction has a semaphore	1946	8503	0.09	4	4	4	4	4	100.00	1	86	14	16.28
Train station totals	19016	59511	0.62	40	40	40	40	40	100.0	10	1037	143	14.38
Only students can be enrolled in courses	1873	5813	0.06	4	4	4	4	4	100.00	1	161	7	4.35
Only professors can teach courses	1887	7366	0.08	4	2	2	2	2	50.00	0			
Courses must have teachers	1894	5603	0.06	4	4	4	4	4	100.00	1	82	11	13.41
Projects are proposed by one course	1901	5926	0.06	4	0	0	0	0	0.00	0			
Only students work on projects and projects must have someone working on them	1915	7893	0.08	4	4	4	4	4	100.00	1	248	58	23.39
Students only work on projects of courses they are enrolled in	1927	5874	0.06	4	4	4	4	4	100.00	1	168	41	24.40
Students work on at most one project per course	1937	6593	0.07	4	4	4	4	4	100.00	1	177	45	25.42
A professor cannot teach herself	1943	9541	0.10	4	4	4	4	4	100.00	1	79	19	24.05
A professor cannot teach colleagues	1949	7731	0.08	4	4	4	4	2	50.00	0			
Only students have grades	1954	6205	0.06	4	0	0	0	0	0.00	0			
Students only have grades in courses they are enrolled	1964	8333	0.09	4	4	4	4	4	100.00	1	87	22	25.29
Students have at most one grade per course	1973	7817	0.08	4	4	4	4	4	100.00	1	87	24	27.59
A student with the highest mark in a course must have worked on a project on that course	1992	10274	0.11	4	4	4	3	3	75.00	0			
A student cannot work with the same student in different projects	2004	8292	0.09	4	4	4	4	4	100.00	1	50	13	26.00
Students working on the same project in a course cannot have marks differing by more than one unit	2023	8520	0.09	4	4	4	4	4	100.00	1	110	41	37.27
Courses totals	29136	111781	1.15	60	50	50	49	47	78.3	10	1249	281	23.12
Totals	82815	300482	3.11	172	156	156	154	151	87.79	34	4623	814	17.02
