Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	1866	8740	0.09	10	10	10	10	10	100.00	1	118	0	0.00
Users cannot follow themselves	1879	6993	0.07	10	10	10	10	10	100.00	1	44	0	0.00
Users can see ads posted by everyone, but only see non ads posted by followed users	1899	7140	0.07	10	0	0	0	0	0.00	0			
If a user posts an ad then all its posts should be labeled as ads	1915	9480	0.10	10	0	0	0	0	0.00	0			
Influencers are followed by everyone else	1923	8560	0.09	10	10	10	10	10	100.00	1	166	4	2.41
Influencers post every day	1929	11582	0.12	10	10	10	10	10	100.00	1	70	7	10.00
Suggested are other users followed by followed users, but not yet followed	1943	7480	0.08	10	10	10	10	10	100.00	1	527	13	2.47
A user only sees ads from followed or suggested users	1954	8224	0.08	10	10	10	10	10	100.00	1	255	119	46.67
Photo sharing social network totals	15308	68199	0.70	80	60	60	60	60	75.0	6	1180	143	10.26
Workers are either human or robots	1884	6563	0.07	10	10	10	10	10	100.00	1	44	3	6.82
Every workstation has workers and every worker works in one workstation	1904	6874	0.07	10	10	10	10	10	100.00	1	93	4	4.30
Every component is assembled in one workstation	1914	10891	0.11	10	10	10	10	10	100.00	1	28	0	0.00
Components must have parts and materials have no parts	1924	8948	0.09	10	10	10	10	10	100.00	1	79	1	1.27
Humans and robots cannot work together	1932	10268	0.11	10	10	3	3	3	30.00	0			
Components cannot be their own parts	1939	11040	0.11	10	10	10	10	9	90.00	0			
Components built of dangerous parts are also dangerous	1948	12254	0.12	10	10	10	10	10	100.00	1	109	7	6.42
Dangerous components cannot be assembled by humans	1957	10400	0.11	10	10	10	10	10	100.00	1	99	12	12.12
The workstations form a single line between begin and end	1969	10043	0.10	10	10	10	10	10	100.00	1	589	30	5.09
The parts of a component must be assembled before it in the production line	1984	12056	0.12	10	10	10	10	10	100.00	1	265	10	3.77
Production line totals	19355	99337	1.02	100	100	93	93	92	92.0	8	1306	67	4.97
The station has at least one entry and one exit	1857	5345	0.06	10	10	10	10	10	100.00	1	126	1	0.79
Signals belong to one track	1871	5279	0.06	10	10	10	10	10	100.00	1	54	1	1.85
Exit tracks are those without successor	1879	7807	0.08	10	10	10	10	10	100.00	1	142	6	4.23
Entry tracks are those without predecessors	1886	8231	0.08	10	10	10	10	10	100.00	1	109	0	0.00
Junctions are the tracks with more than one predecessor	1898	10856	0.11	10	10	10	10	10	100.00	1	163	4	2.45
Entry tracks must have a speed signal	1906	10193	0.10	10	10	10	10	10	100.00	1	68	4	5.88
The station has no cycles	1912	10355	0.11	10	10	10	10	10	100.00	1	36	0	0.00
It should be possible to reach every exit from every entry	1924	10405	0.11	10	10	10	10	10	100.00	1	50	6	12.00
Tracks not followed by junctions do not have semaphores	1937	9358	0.10	10	10	10	10	10	100.00	1	203	2	0.99
Every track before a junction has a semaphore	1946	9014	0.09	10	10	10	10	10	100.00	1	86	14	16.28
Train station totals	19016	86843	0.89	100	100	100	100	100	100.0	10	1037	38	4.45
Only students can be enrolled in courses	1873	6171	0.06	10	2	2	2	2	20.00	0			
Only professors can teach courses	1887	8196	0.08	10	10	10	10	10	100.00	1	33	5	15.15
Courses must have teachers	1894	9004	0.09	10	10	10	10	10	100.00	1	82	2	2.44
Projects are proposed by one course	1901	8154	0.08	10	10	10	10	10	100.00	1	87	2	2.30
Only students work on projects and projects must have someone working on them	1915	9193	0.09	10	10	10	10	10	100.00	1	248	24	9.68
Students only work on projects of courses they are enrolled in	1927	9345	0.10	10	10	10	10	10	100.00	1	168	8	4.76
Students work on at most one project per course	1937	10373	0.11	10	9	9	9	9	90.00	0			
A professor cannot teach herself	1943	13259	0.14	10	10	10	10	10	100.00	1	79	7	8.86
A professor cannot teach colleagues	1949	11097	0.11	10	10	10	10	5	50.00	0			
Only students have grades	1954	12275	0.13	10	10	10	10	10	100.00	1	80	3	3.75
Students only have grades in courses they are enrolled	1964	10490	0.11	10	10	10	10	10	100.00	1	87	14	16.09
Students have at most one grade per course	1973	10447	0.11	10	10	10	10	10	100.00	1	87	1	1.15
A student with the highest mark in a course must have worked on a project on that course	1992	11905	0.12	10	10	10	10	10	100.00	1	292	32	10.96
A student cannot work with the same student in different projects	2004	13897	0.14	10	10	10	10	10	100.00	1	50	2	4.00
Students working on the same project in a course cannot have marks differing by more than one unit	2023	11118	0.11	10	10	10	9	9	90.00	0			
Courses totals	29136	154924	1.59	150	141	141	140	135	90.0	11	1293	100	7.19
Totals	82815	409303	4.20	430	401	394	393	387	90.00	35	4816	348	6.43
